"urls","Назва","Підписів","Успішна_лог","Дата","Завершена","Категорія"
"71","https://petition.kievcity.gov.ua/petition/?pid=6947","Убрать светофор на пересечении улиц Большая Окружная Дорога и Николая Трублаини, установить воздушный пешеходный переход, закрыть разворот с улицы Трублаини в сторону Жулянского моста.",50,FALSE,"2017-11-07",FALSE,"Транспорт"
"72","https://petition.kievcity.gov.ua/petition/?pid=6946","Виділити земельну ділянку в місті Києві для будівництва храму звичаєвих громад - громад, які сповідують дохристиянські вірування українського народу, зокрема РУНВІри.",24,FALSE,"2017-11-07",FALSE,"Містобудування"
"73","https://petition.kievcity.gov.ua/petition/?pid=6945","Побудувати дворівневу транспортну розв'язку на перетині вул Стеценка и Щербаківського.",51,FALSE,"2017-11-07",FALSE,"Транспорт"
"74","https://petition.kievcity.gov.ua/petition/?pid=6943","Заборонити зведення багатоповерхівок без 3-х рівневих підземних паркінгів",79,FALSE,"2017-11-07",FALSE,"Містобудування"
"75","https://petition.kievcity.gov.ua/petition/?pid=6942","Ліквідувати Call-центри при районах і повернутися до старої системи прийому замовлень та скарг.",29,FALSE,"2017-11-07",FALSE,"Інше"
"76","https://petition.kievcity.gov.ua/petition/?pid=6941","Обладнати вагони метро додатковим вертикальним поручнем посеред майданчику біля дверей.",174,FALSE,"2017-11-06",FALSE,"Транспорт"
"77","https://petition.kievcity.gov.ua/petition/?pid=6940","Повернути гаряче водопостачання Оболонському району.",72,FALSE,"2017-11-06",FALSE,"Житлово-комунальна інфраструктура та відходи"
"78","https://petition.kievcity.gov.ua/petition/?pid=6938","Майданчик для вигулу собак вул. Празька, 18-В (Дніпровський р-н)",57,FALSE,"2017-11-06",FALSE,"Благоустрій, довкілля, тварини"
"79","https://petition.kievcity.gov.ua/petition/?pid=6936","Почему до сих пор возле метро Академгородок работают наливайки и продают спиртное в киосках где контроль",64,FALSE,"2017-11-06",FALSE,"МАФи та стихійна торгівля"
"80","https://petition.kievcity.gov.ua/petition/?pid=6934","Решить Вопрос с Игровыми Залами так называемые лотереи .",154,FALSE,"2017-11-06",FALSE,"Інше"
"81","https://petition.kievcity.gov.ua/petition/?pid=6933","Убрать светофоры под мостом на станции м. Нивки",21,FALSE,"2017-11-06",FALSE,"Дорожнє господарство та паркування"
"82","https://petition.kievcity.gov.ua/petition/?pid=6931","Встановити ліхтарі у дворах вул.Бориса Житкова буд.7 та буд.9",25,FALSE,"2017-11-06",FALSE,"Благоустрій, довкілля, тварини"
"83","https://petition.kievcity.gov.ua/petition/?pid=6930","Назвати вулицю в м. Києві на честь загиблої громадянки України Аміни Окуєвої.",69,FALSE,"2017-11-06",FALSE,"Перейменування вулиць"
"84","https://petition.kievcity.gov.ua/petition/?pid=6929","Убрать из городского метро информирование от станциях на английском языке.",77,FALSE,"2017-11-02",FALSE,"Транспорт"
"85","https://petition.kievcity.gov.ua/petition/?pid=6928","Перейменувати станцію метро котра буде будоватись газети правда ,на на полковника Івана Богуна котрий единний не підписав переяславської ради пакти і воював з росіею до кінця своїх днів..",35,FALSE,"2017-11-02",FALSE,"Перейменування вулиць"
"86","https://petition.kievcity.gov.ua/petition/?pid=6927","Перейменувати станцію метро котра буде будуватись маршала Гречко ,котрий знищував Українців,на гетьмана Виговського .",221,FALSE,"2017-11-02",FALSE,"Перейменування вулиць"
"87","https://petition.kievcity.gov.ua/petition/?pid=6925","Постройка крытого скейт-парк в Киеве",40,FALSE,"2017-11-02",FALSE,"Житлово-комунальна інфраструктура та відходи"
"88","https://petition.kievcity.gov.ua/petition/?pid=6923","Замінити вікна на пластикові в ясельних групах в садочку санаторного типу для тубінфікованих дітей, номер 163, що за адресою: м. Київ, вулиця Копилівська, 55",363,FALSE,"2017-11-01",FALSE,"Соціальна сфера (освіта, охорона здоров’я, соц. захист та ін.)"
"89","https://petition.kievcity.gov.ua/petition/?pid=6922","В Київському метрополітені відображати на табло час, який залишився до прибуття наступного потягу, а не час, який пройшов після відправлення останнього потягу.",1073,FALSE,"2017-11-01",FALSE,"Транспорт"
"90","https://petition.kievcity.gov.ua/petition/?pid=6921","Збільшення одиниць транспорту по маршруту 63 та 51 автобусів в години пік чи ввести короткий маршрут до м Красний Хутір. Можливо продовжити маршрут 115 до м Красний Хутір",180,FALSE,"2017-11-01",FALSE,"Транспорт"
"91","https://petition.kievcity.gov.ua/petition/?pid=6918","перейменувати вулицю Івана Кудрі - радянського чекіста-оперативника, терориста, який діяв проти українського національно-визвольного руху на вулицю Андрія Мельника - полковника армії УНР",345,FALSE,"2017-11-01",FALSE,"Перейменування вулиць"
"92","https://petition.kievcity.gov.ua/petition/?pid=6913","Сквер біля Посольства РФ найменувати на честь Героя України Аміни Окуєвої",1902,FALSE,"2017-10-31",FALSE,"Перейменування вулиць"
"93","https://petition.kievcity.gov.ua/petition/?pid=6911","Переробити перехрестя на перетині Володимирського проїзду та вулиці Велика Житомирська, біля Головного Управління Національної Поліції у м. Києві",69,FALSE,"2017-10-31",FALSE,"Дорожнє господарство та паркування"
"94","https://petition.kievcity.gov.ua/petition/?pid=6910","Ремон даху у будинку № 31Б по вул. Д.Щербаківського",71,FALSE,"2017-10-31",FALSE,"Житлово-комунальна інфраструктура та відходи"
"95","https://petition.kievcity.gov.ua/petition/?pid=6909","Встановити світлофор біля станції міської електрички Дарниця",319,FALSE,"2017-10-31",FALSE,"Транспорт"
"96","https://petition.kievcity.gov.ua/petition/?pid=6907","Збільшити фінансування Громадського бюджету та зробити публічним процес формування Програми економічного та соціального розвитку м.Києва",10115,TRUE,"2017-10-29",FALSE,"Інше"
"97","https://petition.kievcity.gov.ua/petition/?pid=6903","Вимагаемо щоб побудоване кладовище для тварин біля тец 6 було відкрите.",85,FALSE,"2017-10-27",FALSE,"Благоустрій, довкілля, тварини"
"98","https://petition.kievcity.gov.ua/petition/?pid=6902","Вимагаемо зняти палатки з вулиці Грушевського освободити проїзд авто",58,FALSE,"2017-10-27",FALSE,"Інше"
"99","https://petition.kievcity.gov.ua/petition/?pid=6901","Створення велосипедної інфраструктури в м. Києві",227,FALSE,"2017-10-27",FALSE,"Транспорт"
"100","https://petition.kievcity.gov.ua/petition/?pid=6899","Запустити ще один нічний тройлейбусний маршрут (94Н) від метро ВДНГ до Академмістечка.",77,FALSE,"2017-10-26",FALSE,"Транспорт"
"101","https://petition.kievcity.gov.ua/petition/?pid=6898","Просимо включити опалення по вул. Виборгській 12.",24,FALSE,"2017-10-26",FALSE,"Житлово-комунальна інфраструктура та відходи"
"102","https://petition.kievcity.gov.ua/petition/?pid=6896","Встановити світлофор на в'їзді на Піденній міст задля уникнення заторів в напрямку проспекту Миколи Бажана.",60,FALSE,"2017-10-26",FALSE,"Дорожнє господарство та паркування"
"103","https://petition.kievcity.gov.ua/petition/?pid=6894","Народний колектив ""Кераміка"" заслуговує гідних умов для розвитку та популяризації унікального керамічного мистецтва в Україні.",241,FALSE,"2017-10-25",FALSE,"Соціальна сфера (освіта, охорона здоров’я, соц. захист та ін.)"
"104","https://petition.kievcity.gov.ua/petition/?pid=6893","Зупинити будівництво в парку Юність на Борщагівці та здійснити вилучення до комунальної  власності територіальної громади міста Києва спірної земельної ділянки",352,FALSE,"2017-10-25",FALSE,"Містобудування"
"105","https://petition.kievcity.gov.ua/petition/?pid=6892","збільшити кількість проектів,які будуть реалізовані через Бюджет участі (2етап)-2017",805,FALSE,"2017-10-25",FALSE,"Інше"
"106","https://petition.kievcity.gov.ua/petition/?pid=6891","Капитальный ремонт улицы КИРИЛЛОВСКАЯ (Фрунзе)",133,FALSE,"2017-10-25",FALSE,"Дорожнє господарство та паркування"
"107","https://petition.kievcity.gov.ua/petition/?pid=6890","Киевские петиции - киевлянам",80,FALSE,"2017-10-25",FALSE,"Інше"
"108","https://petition.kievcity.gov.ua/petition/?pid=6889","Міська влада повинна негайно змусити Київенерго своєчасно та в повному об""ємі  забезпечувати мешканців міста теплом та гарячою водою.",109,FALSE,"2017-10-25",FALSE,"Житлово-комунальна інфраструктура та відходи"
"109","https://petition.kievcity.gov.ua/petition/?pid=6888","Перейменувати станцію метро ""Льва Толстого"" та площу  Льва Толстого у станцію метро ""Тараса Шевченка"" та площу Тараса Шевченка.",13,FALSE,"2017-10-25",FALSE,"Перейменування вулиць"
"110","https://petition.kievcity.gov.ua/petition/?pid=6887","Перейменувати вулицю Подвойського (Шевченківський район) на вулицю Князя Святослава Хороброго",42,FALSE,"2017-10-24",FALSE,"Перейменування вулиць"
"111","https://petition.kievcity.gov.ua/petition/?pid=6886","Заборонити російський шансон та попсу в громадському транспорті Києва",656,FALSE,"2017-10-24",FALSE,"Транспорт"
"112","https://petition.kievcity.gov.ua/petition/?pid=6885","Перейменувати вулицю Іскрівську на вулицю кота Інжира",52,FALSE,"2017-10-24",FALSE,"Перейменування вулиць"
"113","https://petition.kievcity.gov.ua/petition/?pid=6882","Започаткувати для керівництва КМДА щорічну публічну звітність про час підключення їхнього помешкання до систем зимового опалення",34,FALSE,"2017-10-23",FALSE,"Інше"
"114","https://petition.kievcity.gov.ua/petition/?pid=6879","Проїжджа частина дороги потрібна киянам!",66,FALSE,"2017-10-23",FALSE,"Транспорт"
"115","https://petition.kievcity.gov.ua/petition/?pid=6877","Перейменувати вулицю Пушкінську на вулицю Пушинську",122,FALSE,"2017-10-23",FALSE,"Перейменування вулиць"
"116","https://petition.kievcity.gov.ua/petition/?pid=6876","Встановлення сучасного дитячого майданчика у дитячому садку №51 м.Київ",16,FALSE,"2017-10-23",FALSE,"Житлово-комунальна інфраструктура та відходи"
"117","https://petition.kievcity.gov.ua/petition/?pid=6874","Відновити роботу кінотеатру ""Зоряний""",50,FALSE,"2017-10-23",FALSE,"Житлово-комунальна інфраструктура та відходи"
"118","https://petition.kievcity.gov.ua/petition/?pid=6873","Парк Спортивної слави України – замість  забудови Черепанової гори. Кияни! Подбайте про майбутнє своїх дітей!",325,FALSE,"2017-10-23",FALSE,"Благоустрій, довкілля, тварини"
"119","https://petition.kievcity.gov.ua/petition/?pid=6871","Допомога обманутим громадянам у добудові жилого будинку по вул. Старонаводницький 14 (будівельний № 2-20). Довгобуд з 2007 року.",79,FALSE,"2017-10-23",FALSE,"Соціальна сфера (освіта, охорона здоров’я, соц. захист та ін.)"
"120","https://petition.kievcity.gov.ua/petition/?pid=6869","Розірвати договір з Київенерго на постачання киянам гар.води та тепла",249,FALSE,"2017-10-23",FALSE,"Інше"
"121","https://petition.kievcity.gov.ua/petition/?pid=6868","Змусити ПАТ Київенерго належним чином організувати роботу центрів обслуговування клієнтів",154,FALSE,"2017-10-23",FALSE,"Інше"
"122","https://petition.kievcity.gov.ua/petition/?pid=6866","Встановити ліхтарі на лісовому масиві, а саме на вулицях: Мілютенко, 22 (24, 26, 18/2)",32,FALSE,"2017-10-23",FALSE,"Житлово-комунальна інфраструктура та відходи"
"123","https://petition.kievcity.gov.ua/petition/?pid=6865","Встановити світлофори для перетину зустрічних смуг руху",67,FALSE,"2017-10-23",FALSE,"Дорожнє господарство та паркування"
"124","https://petition.kievcity.gov.ua/petition/?pid=6864","Семьи Сосниных - Новая развязка под мостом - Куча грязи",47,FALSE,"2017-10-23",FALSE,"Транспорт"
"125","https://petition.kievcity.gov.ua/petition/?pid=6863","Установити на перехрестях показчики вулиць для пішоходів спочатку бажано в центрі міста.",38,FALSE,"2017-10-23",FALSE,"Житлово-комунальна інфраструктура та відходи"
"126","https://petition.kievcity.gov.ua/petition/?pid=6862","Вирішити питання з безпритульними у метро на Майдані Незалежності",81,FALSE,"2017-10-23",FALSE,"Інше"
"127","https://petition.kievcity.gov.ua/petition/?pid=6860","Зберегти робочі місця громадян, які провадять діяльність в тимчасових спорудах  м. Києва",129,FALSE,"2017-10-23",FALSE,"Соціальна сфера (освіта, охорона здоров’я, соц. захист та ін.)"
"128","https://petition.kievcity.gov.ua/petition/?pid=6859","Впорядкувати сміттєві контейнерні майданчики відповідно до вимог законодавства",469,FALSE,"2017-10-20",FALSE,"Житлово-комунальна інфраструктура та відходи"
"129","https://petition.kievcity.gov.ua/petition/?pid=6858","Перевірити стан житлового будинку по адресі вул.Осиповського 3!!!!",29,FALSE,"2017-10-20",FALSE,"Житлово-комунальна інфраструктура та відходи"
"130","https://petition.kievcity.gov.ua/petition/?pid=6857","У метро забирати паперові одноразові квитки автоматично (ст. м. Кловська), щоб їх не викидали на підлогу і не смітили",53,FALSE,"2017-10-20",FALSE,"Транспорт"
"131","https://petition.kievcity.gov.ua/petition/?pid=6855","Столбы безопасности",135,FALSE,"2017-10-20",FALSE,"Дорожнє господарство та паркування"
"132","https://petition.kievcity.gov.ua/petition/?pid=6854","збудувати другий вихід з метро на станції ""ВОКЗАЛЬНА""",168,FALSE,"2017-10-20",FALSE,"Містобудування"
